,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.600,0.658,3.000
1,"(5, 10]",1.229,1.157,8.000
2,"(10, 15]",0.485,0.215,13.000
3,"(15, 20]",1.370,0.234,18.000
4,"(20, 25]",1.146,0.231,23.000
5,"(25, 30]",1.031,0.318,28.000
6,"(30, 35]",1.418,0.497,33.000
7,"(35, 40]",1.123,0.386,38.000
8,"(40, 45]",1.045,0.452,43.000
9,"(45, 50]",0.527,0.299,48.000
10,"(50, 55]",0.977,0.665,53.000
11,"(55, 60]",0.882,0.681,58.000
12,"(60, 65]",0.949,0.800,63.000
13,"(65, 70]",0.589,0.479,68.000
14,"(70, 75]",1.016,0.753,73.000
15,"(75, 80]",0.545,0.432,78.000
16,"(80, 85]",1.985,1.635,83.000
17,"(85, 90]",0.378,0.372,88.000
