,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.266,0.244,19.000
1,"(22, 27]",1.565,0.496,25.000
2,"(27, 32]",1.277,0.648,30.000
3,"(32, 37]",1.504,0.711,35.000
4,"(37, 42]",1.132,0.487,40.000
5,"(42, 47]",1.633,0.921,45.000
6,"(47, 52]",2.575,1.478,50.000
7,"(52, 57]",0.876,0.415,55.000
8,"(57, 62]",0.830,0.361,60.000
9,"(62, 67]",0.340,0.188,65.000
10,"(67, 72]",0.386,0.159,70.000
11,"(72, 77]",0.993,0.341,75.000
12,"(77, 82]",0.553,0.209,80.000
13,"(82, 87]",1.402,0.709,85.000
14,"(87, 92]",3.000,3.778,90.000
