,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.043,0.175,19.000
1,"(22, 27]",1.324,0.366,25.000
2,"(27, 32]",1.003,0.342,30.000
3,"(32, 37]",1.143,0.467,35.000
4,"(37, 42]",0.564,0.344,40.000
5,"(42, 47]",0.734,0.391,45.000
6,"(47, 52]",1.140,0.759,50.000
7,"(52, 57]",0.425,0.331,55.000
8,"(57, 62]",0.812,0.652,60.000
9,"(62, 67]",1.000,1.310,65.000
10,"(67, 72]",1.250,1.506,70.000
11,"(72, 77]",0.625,0.491,75.000
12,"(77, 82]",0.312,0.380,80.000
13,"(82, 87]",0.948,1.049,85.000
14,"(87, 92]",1.250,1.958,90.000
