,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.230,0.102,19.000
1,"(22, 27]",1.110,0.131,25.000
2,"(27, 32]",1.222,0.176,30.000
3,"(32, 37]",1.184,0.211,35.000
4,"(37, 42]",1.354,0.254,40.000
5,"(42, 47]",1.210,0.226,45.000
6,"(47, 52]",0.980,0.176,50.000
7,"(52, 57]",1.055,0.173,55.000
8,"(57, 62]",0.764,0.129,60.000
9,"(62, 67]",0.622,0.100,65.000
10,"(67, 72]",0.841,0.141,70.000
11,"(72, 77]",0.743,0.130,75.000
12,"(77, 82]",0.824,0.143,80.000
13,"(82, 87]",0.851,0.170,85.000
14,"(87, 92]",0.936,0.271,90.000
15,"(92, 97]",1.035,0.773,95.000
