,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.255,0.055,19.000
1,"(22, 27]",1.143,0.062,25.000
2,"(27, 32]",1.352,0.086,30.000
3,"(32, 37]",1.367,0.101,35.000
4,"(37, 42]",1.225,0.099,40.000
5,"(42, 47]",1.003,0.088,45.000
6,"(47, 52]",1.010,0.094,50.000
7,"(52, 57]",0.930,0.085,55.000
8,"(57, 62]",0.962,0.086,60.000
9,"(62, 67]",0.804,0.073,65.000
10,"(67, 72]",0.915,0.083,70.000
11,"(72, 77]",0.837,0.082,75.000
12,"(77, 82]",0.938,0.103,80.000
13,"(82, 87]",0.978,0.161,85.000
14,"(87, 92]",0.944,0.313,90.000
15,"(92, 97]",0.882,0.937,95.000
