,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.191,0.293,3.000
1,"(5, 10]",1.329,0.250,8.000
2,"(10, 15]",1.158,0.164,13.000
3,"(15, 20]",1.225,0.110,18.000
4,"(20, 25]",1.108,0.117,23.000
5,"(25, 30]",1.409,0.194,28.000
6,"(30, 35]",1.018,0.165,33.000
7,"(35, 40]",1.074,0.196,38.000
8,"(40, 45]",1.361,0.274,43.000
9,"(45, 50]",1.002,0.211,48.000
10,"(50, 55]",1.570,0.364,53.000
11,"(55, 60]",1.296,0.318,58.000
12,"(60, 65]",1.356,0.373,63.000
13,"(65, 70]",1.163,0.267,68.000
14,"(70, 75]",1.155,0.278,73.000
15,"(75, 80]",1.444,0.352,78.000
16,"(80, 85]",0.866,0.250,83.000
17,"(85, 90]",0.847,0.361,88.000
18,"(90, 95]",0.683,0.428,93.000
