,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.014,0.485,3.000
1,"(5, 10]",1.409,0.657,8.000
2,"(10, 15]",0.829,0.315,13.000
3,"(15, 20]",1.212,0.312,18.000
4,"(20, 25]",1.819,0.663,23.000
5,"(25, 30]",1.421,0.762,28.000
6,"(30, 35]",1.445,0.999,33.000
7,"(35, 40]",1.895,1.285,38.000
8,"(40, 45]",1.000,0.890,43.000
9,"(45, 50]",0.667,0.817,48.000
10,"(50, 55]",1.532,1.901,53.000
11,"(55, 60]",1.000,1.582,58.000
12,"(60, 65]",0.320,0.287,63.000
13,"(65, 70]",0.876,0.735,68.000
14,"(70, 75]",0.500,0.936,73.000
15,"(80, 85]",1.333,2.144,83.000
