,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.769,0.383,3.000
1,"(5, 10]",1.085,0.533,8.000
2,"(10, 15]",1.093,0.241,13.000
3,"(15, 20]",1.154,0.105,18.000
4,"(20, 25]",1.205,0.111,23.000
5,"(25, 30]",1.175,0.148,28.000
6,"(30, 35]",1.039,0.165,33.000
7,"(35, 40]",1.106,0.212,38.000
8,"(40, 45]",1.129,0.229,43.000
9,"(45, 50]",1.399,0.362,48.000
10,"(50, 55]",0.923,0.280,53.000
11,"(55, 60]",0.787,0.285,58.000
12,"(60, 65]",0.802,0.342,63.000
13,"(65, 70]",1.182,0.529,68.000
14,"(70, 75]",2.217,1.128,73.000
15,"(75, 80]",0.583,0.259,78.000
16,"(80, 85]",1.038,0.483,83.000
17,"(85, 90]",1.587,0.867,88.000
18,"(90, 95]",2.750,2.371,93.000
