,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,482,1445,1927
1,Car,Unbelted right front passengers,938,1137,2075
2,Car,Belted drivers,1747,3330,5077
3,Car,Belted right front passengers,3781,2391,6172
4,Car,Unbelted left rear passengers,22,38,60
5,Car,Unbelted right rear passengers,30,43,73
0,Light truck,Unbelted drivers,211,666,877
1,Light truck,Unbelted right front passengers,433,549,982
2,Light truck,Belted drivers,661,1754,2415
3,Light truck,Belted right front passengers,1643,960,2603
4,Light truck,Unbelted left rear passengers,7,9,16
5,Light truck,Unbelted right rear passengers,10,8,18
