,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.326,0.087,19.000
1,"(22, 27]",1.441,0.123,25.000
2,"(27, 32]",1.158,0.111,30.000
3,"(32, 37]",1.284,0.136,35.000
4,"(37, 42]",1.344,0.172,40.000
5,"(42, 47]",0.963,0.135,45.000
6,"(47, 52]",1.097,0.178,50.000
7,"(52, 57]",1.057,0.179,55.000
8,"(57, 62]",0.884,0.190,60.000
9,"(62, 67]",0.763,0.171,65.000
10,"(67, 72]",0.978,0.288,70.000
11,"(72, 77]",0.578,0.179,75.000
12,"(77, 82]",0.799,0.351,80.000
13,"(82, 87]",0.863,0.574,85.000
14,"(87, 92]",0.938,1.369,90.000
