,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.150,0.164,3.000
1,"(5, 10]",1.292,0.182,8.000
2,"(10, 15]",1.088,0.112,13.000
3,"(15, 20]",1.337,0.088,18.000
4,"(20, 25]",1.255,0.095,23.000
5,"(25, 30]",1.258,0.120,28.000
6,"(30, 35]",1.059,0.120,33.000
7,"(35, 40]",1.282,0.154,38.000
8,"(40, 45]",1.418,0.190,43.000
9,"(45, 50]",1.086,0.157,48.000
10,"(50, 55]",1.287,0.199,53.000
11,"(55, 60]",1.543,0.247,58.000
12,"(60, 65]",1.197,0.167,63.000
13,"(65, 70]",1.076,0.133,68.000
14,"(70, 75]",1.030,0.120,73.000
15,"(75, 80]",0.856,0.098,78.000
16,"(80, 85]",0.971,0.131,83.000
17,"(85, 90]",1.405,0.274,88.000
18,"(90, 95]",1.471,0.606,93.000
19,"(95, 100]",6.000,6.252,98.000
