,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.745,0.658,19.000
1,"(22, 27]",1.580,0.835,25.000
2,"(27, 32]",1.575,1.036,30.000
3,"(32, 37]",1.290,0.759,35.000
4,"(37, 42]",2.092,1.111,40.000
5,"(42, 47]",0.911,0.478,45.000
6,"(47, 52]",0.676,0.324,50.000
7,"(52, 57]",0.938,0.436,55.000
8,"(57, 62]",0.881,0.417,60.000
9,"(62, 67]",0.473,0.234,65.000
10,"(67, 72]",1.083,0.801,70.000
11,"(72, 77]",0.474,0.341,75.000
12,"(77, 82]",0.286,0.270,80.000
13,"(82, 87]",0.774,0.544,85.000
14,"(87, 92]",0.429,0.577,90.000
