,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.154,0.850,3.000
1,"(5, 10]",1.397,0.970,8.000
2,"(10, 15]",1.140,0.574,13.000
3,"(15, 20]",1.202,0.175,18.000
4,"(20, 25]",1.363,0.178,23.000
5,"(25, 30]",1.160,0.199,28.000
6,"(30, 35]",1.109,0.236,33.000
7,"(35, 40]",2.173,0.646,38.000
8,"(40, 45]",1.338,0.449,43.000
9,"(45, 50]",1.869,0.679,48.000
10,"(50, 55]",0.979,0.353,53.000
11,"(55, 60]",1.487,0.881,58.000
12,"(60, 65]",0.727,0.788,63.000
13,"(65, 70]",1.575,1.090,68.000
14,"(70, 75]",0.537,0.417,73.000
15,"(75, 80]",0.432,0.472,78.000
16,"(80, 85]",1.778,2.258,83.000
17,"(85, 90]",1.875,1.647,88.000
18,"(90, 95]",4.000,6.003,93.000
