,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.229,0.196,19.000
1,"(22, 27]",1.175,0.319,25.000
2,"(27, 32]",2.151,0.878,30.000
3,"(32, 37]",1.141,0.452,35.000
4,"(37, 42]",0.917,0.321,40.000
5,"(42, 47]",1.573,0.638,45.000
6,"(47, 52]",1.221,0.603,50.000
7,"(52, 57]",0.892,0.400,55.000
8,"(57, 62]",0.689,0.323,60.000
9,"(62, 67]",0.909,0.336,65.000
10,"(67, 72]",0.844,0.304,70.000
11,"(72, 77]",0.591,0.191,75.000
12,"(77, 82]",0.786,0.275,80.000
13,"(82, 87]",0.719,0.369,85.000
14,"(87, 92]",1.000,2.001,90.000
