,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.204,0.406,3.000
1,"(5, 10]",1.113,0.211,8.000
2,"(10, 15]",1.252,0.149,13.000
3,"(15, 20]",1.288,0.094,18.000
4,"(20, 25]",1.334,0.115,23.000
5,"(25, 30]",1.400,0.161,28.000
6,"(30, 35]",1.217,0.162,33.000
7,"(35, 40]",1.252,0.177,38.000
8,"(40, 45]",1.357,0.191,43.000
9,"(45, 50]",1.073,0.160,48.000
10,"(50, 55]",1.155,0.175,53.000
11,"(55, 60]",1.430,0.239,58.000
12,"(60, 65]",0.891,0.161,63.000
13,"(65, 70]",1.209,0.222,68.000
14,"(70, 75]",0.925,0.147,73.000
15,"(75, 80]",0.862,0.129,78.000
16,"(80, 85]",0.960,0.145,83.000
17,"(85, 90]",0.782,0.149,88.000
18,"(90, 95]",0.712,0.276,93.000
19,"(95, 100]",0.750,0.981,98.000
