,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.214,0.081,19.000
1,"(22, 27]",1.047,0.108,25.000
2,"(27, 32]",1.136,0.151,30.000
3,"(32, 37]",1.206,0.195,35.000
4,"(37, 42]",1.163,0.187,40.000
5,"(42, 47]",1.059,0.184,45.000
6,"(47, 52]",0.913,0.163,50.000
7,"(52, 57]",0.771,0.149,55.000
8,"(57, 62]",0.882,0.171,60.000
9,"(62, 67]",0.743,0.145,65.000
10,"(67, 72]",0.669,0.121,70.000
11,"(72, 77]",0.601,0.105,75.000
12,"(77, 82]",0.634,0.133,80.000
13,"(82, 87]",0.869,0.233,85.000
14,"(87, 92]",0.963,0.429,90.000
