,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.978,0.073,3.000
1,"(5, 10]",1.046,0.087,8.000
2,"(10, 15]",1.085,0.056,13.000
3,"(15, 20]",1.282,0.042,18.000
4,"(20, 25]",1.276,0.044,23.000
5,"(25, 30]",1.296,0.054,28.000
6,"(30, 35]",1.325,0.064,33.000
7,"(35, 40]",1.178,0.067,38.000
8,"(40, 45]",1.130,0.074,43.000
9,"(45, 50]",1.222,0.088,48.000
10,"(50, 55]",1.273,0.096,53.000
11,"(55, 60]",1.215,0.101,58.000
12,"(60, 65]",0.982,0.080,63.000
13,"(65, 70]",0.933,0.078,68.000
14,"(70, 75]",1.064,0.089,73.000
15,"(75, 80]",0.925,0.086,78.000
16,"(80, 85]",0.921,0.103,83.000
17,"(85, 90]",0.989,0.165,88.000
18,"(90, 95]",1.307,0.374,93.000
19,"(95, 100]",1.179,1.206,98.000
