,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.170,0.172,3.000
1,"(5, 10]",1.190,0.142,8.000
2,"(10, 15]",1.044,0.090,13.000
3,"(15, 20]",1.294,0.079,18.000
4,"(20, 25]",1.226,0.084,23.000
5,"(25, 30]",1.252,0.107,28.000
6,"(30, 35]",1.153,0.111,33.000
7,"(35, 40]",1.116,0.111,38.000
8,"(40, 45]",1.436,0.151,43.000
9,"(45, 50]",1.176,0.128,48.000
10,"(50, 55]",1.503,0.169,53.000
11,"(55, 60]",1.332,0.154,58.000
12,"(60, 65]",1.099,0.124,63.000
13,"(65, 70]",1.130,0.120,68.000
14,"(70, 75]",0.941,0.093,73.000
15,"(75, 80]",0.896,0.086,78.000
16,"(80, 85]",0.963,0.098,83.000
17,"(85, 90]",1.030,0.137,88.000
18,"(90, 95]",0.864,0.215,93.000
19,"(95, 100]",2.800,2.063,98.000
