,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.330,0.086,19.000
1,"(22, 27]",1.461,0.125,25.000
2,"(27, 32]",1.153,0.110,30.000
3,"(32, 37]",1.268,0.133,35.000
4,"(37, 42]",1.357,0.171,40.000
5,"(42, 47]",0.966,0.133,45.000
6,"(47, 52]",1.091,0.176,50.000
7,"(52, 57]",1.059,0.178,55.000
8,"(57, 62]",0.854,0.182,60.000
9,"(62, 67]",0.761,0.167,65.000
10,"(67, 72]",0.882,0.255,70.000
11,"(72, 77]",0.589,0.181,75.000
12,"(77, 82]",0.803,0.353,80.000
13,"(82, 87]",0.863,0.574,85.000
14,"(87, 92]",0.941,1.372,90.000
