,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.171,0.095,19.000
1,"(22, 27]",1.173,0.125,25.000
2,"(27, 32]",1.157,0.132,30.000
3,"(32, 37]",1.041,0.112,35.000
4,"(37, 42]",1.133,0.124,40.000
5,"(42, 47]",0.963,0.101,45.000
6,"(47, 52]",1.043,0.115,50.000
7,"(52, 57]",1.011,0.106,55.000
8,"(57, 62]",0.734,0.084,60.000
9,"(62, 67]",0.799,0.096,65.000
10,"(67, 72]",0.811,0.111,70.000
11,"(72, 77]",0.556,0.087,75.000
12,"(77, 82]",0.705,0.128,80.000
13,"(82, 87]",0.647,0.169,85.000
14,"(87, 92]",0.683,0.390,90.000
