,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.097,0.113,3.000
1,"(5, 10]",1.048,0.112,8.000
2,"(10, 15]",1.072,0.084,13.000
3,"(15, 20]",1.200,0.070,18.000
4,"(20, 25]",1.272,0.107,23.000
5,"(25, 30]",1.311,0.153,28.000
6,"(30, 35]",1.102,0.158,33.000
7,"(35, 40]",1.334,0.226,38.000
8,"(40, 45]",1.165,0.237,43.000
9,"(45, 50]",1.224,0.237,48.000
10,"(50, 55]",1.097,0.222,53.000
11,"(55, 60]",0.931,0.212,58.000
12,"(60, 65]",1.006,0.218,63.000
13,"(65, 70]",1.063,0.245,68.000
14,"(70, 75]",0.638,0.164,73.000
15,"(75, 80]",1.187,0.342,78.000
16,"(80, 85]",1.194,0.435,83.000
17,"(85, 90]",1.233,0.744,88.000
18,"(90, 95]",0.417,0.557,93.000
19,"(95, 100]",2.000,3.743,98.000
