,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.126,0.157,3.000
1,"(5, 10]",1.269,0.174,8.000
2,"(10, 15]",1.082,0.111,13.000
3,"(15, 20]",1.327,0.093,18.000
4,"(20, 25]",1.289,0.101,23.000
5,"(25, 30]",1.250,0.120,28.000
6,"(30, 35]",1.050,0.119,33.000
7,"(35, 40]",1.277,0.154,38.000
8,"(40, 45]",1.403,0.187,43.000
9,"(45, 50]",1.039,0.149,48.000
10,"(50, 55]",1.284,0.199,53.000
11,"(55, 60]",1.480,0.229,58.000
12,"(60, 65]",1.185,0.164,63.000
13,"(65, 70]",1.093,0.137,68.000
14,"(70, 75]",0.994,0.115,73.000
15,"(75, 80]",0.875,0.104,78.000
16,"(80, 85]",0.982,0.136,83.000
17,"(85, 90]",1.392,0.267,88.000
18,"(90, 95]",1.217,0.451,93.000
19,"(95, 100]",4.286,3.940,98.000
