,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.287,0.053,19.000
1,"(22, 27]",1.223,0.064,25.000
2,"(27, 32]",1.295,0.078,30.000
3,"(32, 37]",1.246,0.085,35.000
4,"(37, 42]",1.140,0.088,40.000
5,"(42, 47]",1.004,0.087,45.000
6,"(47, 52]",0.987,0.097,50.000
7,"(52, 57]",1.012,0.103,55.000
8,"(57, 62]",0.975,0.101,60.000
9,"(62, 67]",0.912,0.096,65.000
10,"(67, 72]",0.867,0.093,70.000
11,"(72, 77]",0.991,0.116,75.000
12,"(77, 82]",0.871,0.118,80.000
13,"(82, 87]",1.203,0.229,85.000
14,"(87, 92]",0.985,0.364,90.000
15,"(92, 97]",2.400,3.116,95.000
