,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.126,0.667,3.000
1,"(5, 10]",2.336,1.280,8.000
2,"(10, 15]",1.188,0.322,13.000
3,"(15, 20]",1.452,0.271,18.000
4,"(20, 25]",1.780,0.399,23.000
5,"(25, 30]",0.987,0.284,28.000
6,"(30, 35]",1.078,0.338,33.000
7,"(35, 40]",1.223,0.441,38.000
8,"(40, 45]",2.346,1.098,43.000
9,"(45, 50]",0.634,0.297,48.000
10,"(50, 55]",1.277,0.540,53.000
11,"(55, 60]",1.457,0.731,58.000
12,"(60, 65]",1.152,0.507,63.000
13,"(65, 70]",0.965,0.404,68.000
14,"(70, 75]",1.398,0.448,73.000
15,"(75, 80]",0.942,0.320,78.000
16,"(80, 85]",0.961,0.360,83.000
17,"(85, 90]",1.261,0.566,88.000
18,"(90, 95]",0.571,0.560,93.000
