,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.834,0.140,3.000
1,"(5, 10]",1.147,0.214,8.000
2,"(10, 15]",1.100,0.126,13.000
3,"(15, 20]",1.209,0.094,18.000
4,"(20, 25]",1.084,0.130,23.000
5,"(25, 30]",1.326,0.226,28.000
6,"(30, 35]",1.517,0.347,33.000
7,"(35, 40]",0.903,0.267,38.000
8,"(40, 45]",1.988,0.754,43.000
9,"(45, 50]",0.747,0.263,48.000
10,"(50, 55]",1.907,0.958,53.000
11,"(55, 60]",1.773,0.943,58.000
12,"(60, 65]",1.320,0.807,63.000
13,"(65, 70]",1.095,0.768,68.000
14,"(70, 75]",1.452,1.330,73.000
15,"(75, 80]",1.142,0.816,78.000
16,"(85, 90]",4.000,7.214,88.000
