,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.252,0.047,19.000
1,"(22, 27]",1.181,0.056,25.000
2,"(27, 32]",1.230,0.069,30.000
3,"(32, 37]",1.156,0.073,35.000
4,"(37, 42]",1.209,0.086,40.000
5,"(42, 47]",1.084,0.083,45.000
6,"(47, 52]",0.948,0.075,50.000
7,"(52, 57]",0.957,0.076,55.000
8,"(57, 62]",0.944,0.074,60.000
9,"(62, 67]",0.792,0.063,65.000
10,"(67, 72]",0.864,0.069,70.000
11,"(72, 77]",0.869,0.074,75.000
12,"(77, 82]",0.903,0.087,80.000
13,"(82, 87]",1.051,0.146,85.000
14,"(87, 92]",0.764,0.212,90.000
15,"(92, 97]",1.101,0.910,95.000
