,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.235,1.469,3.000
1,"(5, 10]",0.667,1.123,8.000
2,"(10, 15]",1.366,0.679,13.000
3,"(15, 20]",0.989,0.197,18.000
4,"(20, 25]",1.021,0.242,23.000
5,"(25, 30]",0.944,0.312,28.000
6,"(30, 35]",1.341,0.535,33.000
7,"(35, 40]",1.222,0.598,38.000
8,"(40, 45]",0.609,0.384,43.000
9,"(45, 50]",0.969,0.668,48.000
10,"(50, 55]",0.546,0.371,53.000
11,"(55, 60]",0.360,0.391,58.000
12,"(60, 65]",0.921,0.821,63.000
13,"(65, 70]",1.400,1.624,68.000
14,"(70, 75]",1.250,1.182,73.000
15,"(75, 80]",0.562,0.640,78.000
16,"(80, 85]",1.000,1.513,83.000
17,"(85, 90]",0.653,0.830,88.000
