,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.151,0.442,3.000
1,"(5, 10]",1.245,0.500,8.000
2,"(10, 15]",0.965,0.243,13.000
3,"(15, 20]",1.251,0.160,18.000
4,"(20, 25]",1.343,0.196,23.000
5,"(25, 30]",1.150,0.217,28.000
6,"(30, 35]",1.346,0.307,33.000
7,"(35, 40]",1.448,0.363,38.000
8,"(40, 45]",0.989,0.332,43.000
9,"(45, 50]",0.576,0.230,48.000
10,"(50, 55]",2.789,1.480,53.000
11,"(55, 60]",1.594,0.742,58.000
12,"(60, 65]",0.742,0.348,63.000
13,"(65, 70]",1.812,0.738,68.000
14,"(70, 75]",0.836,0.379,73.000
15,"(75, 80]",1.199,0.514,78.000
16,"(80, 85]",0.602,0.326,83.000
17,"(85, 90]",1.420,1.029,88.000
18,"(90, 95]",0.750,0.811,93.000
