,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.100,0.262,19.000
1,"(22, 27]",1.002,0.385,25.000
2,"(27, 32]",1.150,0.484,30.000
3,"(32, 37]",0.646,0.437,35.000
4,"(37, 42]",1.101,0.700,40.000
5,"(42, 47]",1.378,1.206,45.000
6,"(47, 52]",1.437,0.835,50.000
7,"(52, 57]",0.626,0.346,55.000
8,"(57, 62]",0.469,0.248,60.000
9,"(62, 67]",0.214,0.127,65.000
10,"(67, 72]",0.677,0.313,70.000
11,"(72, 77]",0.485,0.258,75.000
12,"(77, 82]",0.519,0.276,80.000
13,"(82, 87]",0.665,0.397,85.000
14,"(87, 92]",0.912,0.897,90.000
