,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.995,0.116,3.000
1,"(5, 10]",1.334,0.157,8.000
2,"(10, 15]",1.099,0.084,13.000
3,"(15, 20]",1.317,0.065,18.000
4,"(20, 25]",1.361,0.068,23.000
5,"(25, 30]",1.427,0.082,28.000
6,"(30, 35]",1.388,0.087,33.000
7,"(35, 40]",1.213,0.083,38.000
8,"(40, 45]",1.238,0.094,43.000
9,"(45, 50]",1.264,0.106,48.000
10,"(50, 55]",1.090,0.104,53.000
11,"(55, 60]",1.113,0.119,58.000
12,"(60, 65]",1.372,0.162,63.000
13,"(65, 70]",1.054,0.141,68.000
14,"(70, 75]",1.108,0.170,73.000
15,"(75, 80]",1.041,0.166,78.000
16,"(80, 85]",0.955,0.213,83.000
17,"(85, 90]",1.206,0.397,88.000
18,"(90, 95]",0.880,0.603,93.000
