,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.497,1.475,3.000
1,"(5, 10]",2.117,1.611,8.000
2,"(10, 15]",1.301,0.445,13.000
3,"(15, 20]",1.237,0.179,18.000
4,"(20, 25]",1.096,0.151,23.000
5,"(25, 30]",1.178,0.200,28.000
6,"(30, 35]",1.274,0.245,33.000
7,"(35, 40]",1.198,0.242,38.000
8,"(40, 45]",1.321,0.303,43.000
9,"(45, 50]",1.806,0.492,48.000
10,"(50, 55]",0.922,0.293,53.000
11,"(55, 60]",0.904,0.323,58.000
12,"(60, 65]",2.075,0.900,63.000
13,"(65, 70]",1.114,0.628,68.000
14,"(70, 75]",1.265,0.855,73.000
15,"(75, 80]",0.497,0.394,78.000
16,"(80, 85]",0.970,0.850,83.000
17,"(85, 90]",0.533,0.545,88.000
