,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.421,0.670,3.000
1,"(5, 10]",1.340,0.601,8.000
2,"(10, 15]",1.420,0.434,13.000
3,"(15, 20]",1.571,0.281,18.000
4,"(20, 25]",1.508,0.311,23.000
5,"(25, 30]",1.280,0.359,28.000
6,"(30, 35]",1.580,0.560,33.000
7,"(35, 40]",1.082,0.358,38.000
8,"(40, 45]",1.348,0.608,43.000
9,"(45, 50]",1.063,0.410,48.000
10,"(50, 55]",1.213,0.519,53.000
11,"(55, 60]",2.492,1.127,58.000
12,"(60, 65]",1.596,0.812,63.000
13,"(65, 70]",1.017,0.438,68.000
14,"(70, 75]",1.186,0.444,73.000
15,"(75, 80]",0.811,0.297,78.000
16,"(80, 85]",1.541,0.629,83.000
17,"(85, 90]",1.223,0.635,88.000
18,"(90, 95]",3.200,2.983,93.000
