,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.142,0.169,19.000
1,"(22, 27]",1.250,0.235,25.000
2,"(27, 32]",1.219,0.260,30.000
3,"(32, 37]",1.124,0.235,35.000
4,"(37, 42]",0.914,0.191,40.000
5,"(42, 47]",1.199,0.239,45.000
6,"(47, 52]",0.983,0.191,50.000
7,"(52, 57]",1.229,0.227,55.000
8,"(57, 62]",0.600,0.115,60.000
9,"(62, 67]",0.753,0.146,65.000
10,"(67, 72]",0.803,0.172,70.000
11,"(72, 77]",0.647,0.153,75.000
12,"(77, 82]",0.758,0.194,80.000
13,"(82, 87]",0.401,0.169,85.000
14,"(87, 92]",0.555,0.526,90.000
