,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.116,0.206,19.000
1,"(22, 27]",1.289,0.402,25.000
2,"(27, 32]",2.194,0.755,30.000
3,"(32, 37]",0.772,0.345,35.000
4,"(37, 42]",1.721,0.796,40.000
5,"(42, 47]",0.502,0.211,45.000
6,"(47, 52]",1.392,0.807,50.000
7,"(52, 57]",0.774,0.335,55.000
8,"(57, 62]",1.220,0.496,60.000
9,"(62, 67]",0.606,0.232,65.000
10,"(67, 72]",0.883,0.292,70.000
11,"(72, 77]",0.949,0.285,75.000
12,"(77, 82]",0.775,0.284,80.000
13,"(82, 87]",0.759,0.347,85.000
14,"(87, 92]",0.679,0.865,90.000
