,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.826,0.122,3.000
1,"(5, 10]",0.930,0.169,8.000
2,"(10, 15]",1.054,0.101,13.000
3,"(15, 20]",1.271,0.073,18.000
4,"(20, 25]",1.324,0.092,23.000
5,"(25, 30]",1.202,0.105,28.000
6,"(30, 35]",1.152,0.124,33.000
7,"(35, 40]",1.299,0.168,38.000
8,"(40, 45]",1.117,0.172,43.000
9,"(45, 50]",1.147,0.201,48.000
10,"(50, 55]",1.136,0.212,53.000
11,"(55, 60]",1.133,0.241,58.000
12,"(60, 65]",1.058,0.218,63.000
13,"(65, 70]",1.252,0.290,68.000
14,"(70, 75]",1.290,0.352,73.000
15,"(75, 80]",0.948,0.295,78.000
16,"(80, 85]",0.807,0.333,83.000
17,"(85, 90]",1.091,0.747,88.000
18,"(90, 95]",1.667,2.654,93.000
