,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.211,0.235,3.000
1,"(5, 10]",0.940,0.208,8.000
2,"(10, 15]",0.950,0.144,13.000
3,"(15, 20]",1.185,0.112,18.000
4,"(20, 25]",1.313,0.180,23.000
5,"(25, 30]",1.476,0.290,28.000
6,"(30, 35]",1.089,0.260,33.000
7,"(35, 40]",1.292,0.401,38.000
8,"(40, 45]",2.010,0.754,43.000
9,"(45, 50]",1.359,0.539,48.000
10,"(50, 55]",1.550,0.617,53.000
11,"(55, 60]",0.980,0.486,58.000
12,"(60, 65]",2.240,1.508,63.000
13,"(65, 70]",1.036,0.544,68.000
14,"(70, 75]",0.620,0.326,73.000
15,"(75, 80]",1.062,0.635,78.000
16,"(80, 85]",1.551,1.305,83.000
17,"(85, 90]",1.333,1.421,88.000
