,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.500,2.526,3.000
1,"(5, 10]",0.466,0.466,8.000
2,"(10, 15]",1.293,0.585,13.000
3,"(15, 20]",1.545,0.237,18.000
4,"(20, 25]",1.272,0.216,23.000
5,"(25, 30]",1.326,0.309,28.000
6,"(30, 35]",0.821,0.269,33.000
7,"(35, 40]",0.629,0.266,38.000
8,"(40, 45]",1.442,0.823,43.000
9,"(45, 50]",1.061,0.658,48.000
10,"(50, 55]",1.065,0.693,53.000
11,"(55, 60]",0.448,0.399,58.000
12,"(60, 65]",1.704,1.375,63.000
13,"(65, 70]",0.333,0.609,68.000
14,"(70, 75]",2.000,2.648,73.000
15,"(75, 80]",1.091,1.151,78.000
16,"(80, 85]",2.222,1.913,83.000
