,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.900,0.124,3.000
1,"(5, 10]",1.063,0.149,8.000
2,"(10, 15]",1.095,0.100,13.000
3,"(15, 20]",1.241,0.070,18.000
4,"(20, 25]",1.252,0.079,23.000
5,"(25, 30]",1.278,0.106,28.000
6,"(30, 35]",1.254,0.129,33.000
7,"(35, 40]",1.353,0.160,38.000
8,"(40, 45]",1.075,0.148,43.000
9,"(45, 50]",1.092,0.166,48.000
10,"(50, 55]",1.336,0.216,53.000
11,"(55, 60]",1.589,0.294,58.000
12,"(60, 65]",1.067,0.216,63.000
13,"(65, 70]",0.750,0.157,68.000
14,"(70, 75]",1.354,0.280,73.000
15,"(75, 80]",1.115,0.268,78.000
16,"(80, 85]",0.877,0.279,83.000
17,"(85, 90]",0.722,0.375,88.000
18,"(90, 95]",2.672,2.163,93.000
