,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.468,0.455,19.000
1,"(22, 27]",1.182,0.525,25.000
2,"(27, 32]",2.446,1.763,30.000
3,"(32, 37]",0.456,0.332,35.000
4,"(37, 42]",1.203,0.923,40.000
5,"(42, 47]",1.774,1.642,45.000
6,"(47, 52]",0.890,0.954,50.000
7,"(52, 57]",1.331,0.898,55.000
8,"(57, 62]",0.872,0.555,60.000
9,"(62, 67]",0.375,0.284,65.000
10,"(67, 72]",0.316,0.249,70.000
11,"(72, 77]",0.598,0.379,75.000
12,"(77, 82]",0.519,0.426,80.000
13,"(82, 87]",3.949,3.061,85.000
14,"(87, 92]",0.500,0.606,90.000
