,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.225,0.067,19.000
1,"(22, 27]",1.227,0.098,25.000
2,"(27, 32]",1.185,0.124,30.000
3,"(32, 37]",1.290,0.149,35.000
4,"(37, 42]",1.284,0.168,40.000
5,"(42, 47]",0.924,0.136,45.000
6,"(47, 52]",0.914,0.151,50.000
7,"(52, 57]",0.916,0.172,55.000
8,"(57, 62]",0.954,0.220,60.000
9,"(62, 67]",0.907,0.232,65.000
10,"(67, 72]",0.643,0.173,70.000
11,"(72, 77]",1.030,0.251,75.000
12,"(77, 82]",1.017,0.269,80.000
13,"(82, 87]",1.183,0.402,85.000
14,"(87, 92]",0.915,0.596,90.000
15,"(92, 97]",2.500,3.262,95.000
