,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.139,0.256,3.000
1,"(5, 10]",1.158,0.212,8.000
2,"(10, 15]",1.076,0.146,13.000
3,"(15, 20]",1.382,0.133,18.000
4,"(20, 25]",1.153,0.125,23.000
5,"(25, 30]",1.130,0.135,28.000
6,"(30, 35]",1.480,0.188,33.000
7,"(35, 40]",1.051,0.134,38.000
8,"(40, 45]",1.291,0.163,43.000
9,"(45, 50]",1.162,0.156,48.000
10,"(50, 55]",1.221,0.174,53.000
11,"(55, 60]",1.130,0.172,58.000
12,"(60, 65]",1.081,0.177,63.000
13,"(65, 70]",1.101,0.183,68.000
14,"(70, 75]",0.941,0.162,73.000
15,"(75, 80]",1.004,0.196,78.000
16,"(80, 85]",0.932,0.211,83.000
17,"(85, 90]",0.715,0.285,88.000
18,"(90, 95]",0.421,0.308,93.000
