,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.313,0.085,19.000
1,"(22, 27]",1.234,0.120,25.000
2,"(27, 32]",1.199,0.145,30.000
3,"(32, 37]",1.214,0.164,35.000
4,"(37, 42]",1.087,0.146,40.000
5,"(42, 47]",1.229,0.162,45.000
6,"(47, 52]",0.954,0.126,50.000
7,"(52, 57]",0.875,0.111,55.000
8,"(57, 62]",0.873,0.113,60.000
9,"(62, 67]",0.772,0.099,65.000
10,"(67, 72]",0.766,0.100,70.000
11,"(72, 77]",0.881,0.110,75.000
12,"(77, 82]",0.754,0.104,80.000
13,"(82, 87]",0.861,0.153,85.000
14,"(87, 92]",0.849,0.221,90.000
15,"(92, 97]",5.000,5.686,95.000
